cleaned_text,label,keyword_tag,is_profanity,is_insult,is_hate_speech,is_toxic
polis şikayet olmadığı sürece . bir yaralama lı olay olmadığı sürece . hiç bit şey yapmaz. kanun böyle . hukuk devleti değiliz malesef. geliş miş ülke hiç değiliz. geriye giden bir ülkeyiz. bu olay amerika gibi tam gelişmiş ülkede olsa polis ters kelepçe yapıp tutuklama yetkisi var . ama bizimkilerde yok .,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",0,1,0,1
cezası kapitalistlerin midesine açısı da bize gidiyor 😢😮😢yanı demek istediğim çözüm doğru bir eğitim nizamı onu da laiklik vermez 100 yildirda vermedi. 😢😮😢 tek çözüm raşidi hilafet devleti raşidi hilafet økonomi sistemi hazır herşeyi hazır.,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",0,1,0,1
yine buz gibi golümüzü yemişler,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
bu ırkı yok etmek lazım,,,0,1,1,1
"bunu izleyip mutlu olan var mı abi,full negatif enerji",0.0,TÜRK CANLI YAYIN KAVGALARI 2017,1,0,0,1
bravo kardaş muharem ince haklı,0.0,Muharrem ince küfür,0,0,0,0
kes lan kahpe,,,1,1,0,1
tam bir amcık,,,1,1,0,1
3:00 abi orda öyle bir sinir krizi geçirilir ki bilmessin,0.0,OYUN OYNARKEN DELİREN İNSANLAR!,0,0,0,0
niye iki yıl süresiz men ve 2 yıl kamuda ücretsiz sabah 9 akşam 5 temizlik işcisi olarak çalışma cezası,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
kromagnum ilk insan,0.0,İbrahim Tatlıses canlı yayında stüdyoyu basıyor ve konuğu kovuyor!!!!!,0,0,0,0
ilk başta kim saldırdı acaba sonra polis saldırdı,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
yo adamlar direkt sana pis yabanci ulkene geri don diye hakaret eder. kör bir yerde seni bicaklar.,0.0,Metroda şarkı kavgası!,0,0,0,0
gariban biri olsa çoktan toprağa girerdi,0.0,İbrahim Tatlıses canlı yayında stüdyoyu basıyor ve konuğu kovuyor!!!!!,0,0,0,0
"mavi gomlekli atesin ustune bir bidon benzin doktu,sonra da tuydu.",0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,0,0,0
helal olsun yedikuleli varank oturtun lafları sgırlara rank rank,0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",1,0,0,1
arto nun intikamını almış olmasın bircan,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,0,0,0
lan defolun gidin bu ülkeden,,,0,1,1,1
inanamıyorum,0.0,Metroda şarkı kavgası!,0,0,0,0
DEFOLUN GIDIN BU ÜLKEDEN,,,0,1,1,1
sen tam bir geri zekalısın,,,0,1,0,1
HEPINIZ IDAM EDILMELISINIZ,,,0,1,1,1
gülerken yemin ederim nefesim kesildi,0.0,Deep Humor Karma Röportaj Serisi (Vol21),0,0,0,0
a.c.a.p,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
ıki tarafında ehliyetleri iptal edilsin,0.0,🔴 A fight broke out in traffic!,0,0,0,0
kral gibi adam..fb öyle çok futbolcu vatdi ozaman,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,0,0,0
maalesef ki öyle...,0.0,Real Madrid Takım Otobüsü Taşlandı! İşte Saldırı Anları !!! (Real Madrid Team Bus),0,0,0,0
alpay erten bence de,0.0,TÜRK CANLI YAYIN KAVGALARI 2017,0,0,0,0
dünya spor tarihinde şimdiye kadar olmamış en onurlu hareketti. hakeme hak yedirtmeyiz diyen bir avuç temiz anadolu çocuklarıydı onlar. canı gönülden tebrik ediyorum salih dursun 🍀,0.0,"""HAKEME"" yapılan ""SAYGISIZLIK""!!! #trabzonspor #galatasaray #hakem",0,0,0,0
ben ufaktan deliriyom galba size başarılar 👋🏻,0.0,Deep Humor Karma Röportaj Serisi (Vol27),0,0,0,0
olur olur öbür kırathane delikanlısından iyidir,0.0,Muharrem ince küfür,0,0,0,0
şizofreni falan değil. bariz borderline,0.0,Otobüs şoförü yolcuyla tartıştı!,1,0,0,1
herkes ünlü olma derdinde. her yerde şarkı söyleyemezsin. haa sesini daha fazla kitlelere duyurmak istiyorsan en iyi yol sokakta şarkı söylemek olur.,0.0,Metroda şarkı kavgası!,0,1,0,1
"ayıranlarada atar gider yaparsa yer dayağını, milletin önünü kesip hava yapmasın gençliğine güvenip",0.0,🔴 A fight broke out in traffic!,0,0,0,0
lan yunan tohumu,,,0,1,1,1
knk bugün 12 mayıs 2021,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
lan soysuz köpekler,,,0,1,1,1
ayıranların başına neler geliyor insanlar biliyor o yüzden de hiç kimse ilgilenmiyor,0.0,İstanbul’da Trafiğin Ortasında Boks Ringini Aratmayan Kavga!,0,0,0,0
bekle o kavat görecek,0.0,TEKMELER KÜFÜRLER HAVADA UÇUŞTU,0,0,0,0
senin ben sg,,,1,1,0,1
"​ avrupadan aldığın hukuk sistemi ""senden olmayan daima suçludur"" demiyor ama.. son 10-15 yılda cezaevine atılanlarla, cezaevinden tahliye edilenleri şöööylee bi araştırırsan ülkemizde planlı bişekilde ne yapılmak istendiğini anlarsın. not: (adolf'de demokratik bişekilde ve alkışlarla seçilmişti)",0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",1,0,0,1
ne ulan bir herifsin,,,1,1,0,1
pcin ağızlı,,,1,1,0,1
çok teşekkür ederim 🙏özleyenler olduğunu görmek gerçekten motive ediyor. iyi ki varsın 💙,0.0,TIRCIYLA BÜYÜK KAVGA! Türkiye'de Yaşanan Motorcu Kavgaları ve Kazaları! (330) Trafik Kavgaları! 2026,0,0,0,0
en az,0.0,Oyun oynarken çıldıran koreli :),0,0,0,0
ne am biti bir herifsin,,,1,1,0,1
arda duzeldimi 2025😅,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
güvenlik nerde?,0.0,"TBMM'de yine tekmeli, yumruklu kavga - BBC TÜRKÇE",0,0,0,0
defolun gidin bu ülkeden!!!,,,0,1,1,1
tam bir bok,,,1,1,0,1
seren gayet profesyonel ve pozitif başladı .. bircanıb gözü dönmüş tersledi ‘halay ‘dediği için seren.. program öncesinden kalan gerginlik programda başlamamış anlaşılan,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,1,1,0,1
"bayılmadı, domaldı :d",0.0,TÜRK CANLI YAYIN KAVGALARI 2017,0,1,0,1
o resim sebilürreşad koleksiyonu'ndan gidip bakabilirsin tarih bilgin yok bence sadece slogan atıyosun ama gene de git bak diyorum herneyse,0.0,METROBÜSTE STAND UP / Muhteşem Final 😄,0,1,0,1
ERMENI DÖLÜ,,,0,1,1,1
ananı defol,,,1,1,0,1
yumrukla temizlik olmaz küte yokmu temizleyin birbirinizi yiyin yiyin kudurun hadi inşallah,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,1,0,1
çakalım da çakalım,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,0,1,0,1
saraydan para alıyor pcin evladi gt olanı,0.0,Basına SALDIRI !  #sokakröportajları,1,1,0,1
sünniler şöyledir,,,0,1,1,1
Allah'ın ibneu,,,1,1,0,1
ben de öyle.,0.0,Real Madrid Takım Otobüsü Taşlandı! İşte Saldırı Anları !!! (Real Madrid Team Bus),0,0,0,0
kes sesini yalaka,,,0,1,0,1
turgay demir: hazreti isa kızını keserken azrail keçi getirmiş.,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
sus be gerizekalı,,,0,1,0,1
şu geriye doğru gelen çakal mı,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,0,1,0,1
ermeni dölü!!!,,,0,1,1,1
acı olan senin ziyan yorumun hadsiz. izlediğini anlamayacak kadar ya kıtsındır ya da yanlı. okuyup cevap versen de ettiğin yersiz söz dışında ki kaliteni görsem.,0.0,Deep Humor Karma Röportaj Serisi (Vol21),1,1,0,1
"akp den önce en düşük emekli maaşı , asgari ücretin 1, 5 katı idi. asgari ücrette açlık sınırıaltı değildi.",0.0,Kötülemeyin Hainler | 'TANSİYON YÜKSELDİ' | Bize Müstehak Vallahi | Sokak Röportajları,1,0,0,1
var ali koç,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,1,0,0,1
bizim en normal okul turnuvası maçı,0.0,İşte o olaylı dev derbi! | Fenerbahçe & Beşiktaş | Ziraat Türkiye Kupası | 19.04.2018,0,1,0,1
"su an pekii avrupa hukuk sistemi mi var bu ulkede, dalyaraq",0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",1,0,0,1
"""onlar sizin işiniz değil"" 😂😂😂",0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
bot basmış büyük ihtimal,0.0,RRaenee - TÜRKİYE'DE YAŞANAN MOTORCU KAVGALARI VE KAZALARI! #239 İzliyor | @Traffic.Channel,0,1,0,1
kesinlikleeeeeee,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,0,0,0
hayatımda gördüğüm en büyük öküz,,,0,1,0,1
"aynen.. mert hakan ve irfan can, tam kenefbahçe futbolcuları..",0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
KÜRTLER BÖLÜCÜDÜR,,,0,1,1,1
bircan yıllardır çok bile sabretti kimse kusura bakmasın taş olsa çatlar artonun yapamadığını yaptığı için tebrik ederim,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,0,0,0
yarrak seni,,,1,1,0,1
"çok acil bir yasa çıkması şart !! direk hızlı mahkeme’de yargılanmaları lazım, 5-10yıl çok doğru",0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,1,1,0,1
"fanatik beşiktaşlıyım. o gün fenerbahçeli kardeşim de tribündeydi. izlediklerim ve duyduklarım birbirini tutuyor. azıcık tribün görmüş herkes bu işin baş sorumlusunun polis olduğunu bilir. polis o gün orada olay çıkmasını istemeseydi çıkmazdı. emniyetin son derece organize bir tahrik operasyonu var, fenerbahçe taraftarı sonuna kadar haklı. polis şiddetinden nasibini almış herkese büyük geçmiş olsun.",0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
kamil herif,,,0,1,0,1
baştaki dayı; bütün yolculuğum bi yalanmış,0.0,Deep Humor Karma Röportaj Serisi (Vol32),1,0,0,1
yunan tohumu!!!,,,0,1,1,1
gerçekten yavşak mısın,,,0,1,0,1
midem kaldırmadığı için izlemiyorum.,0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",0,0,0,0
o b1 i bile komuşamayan vatandaşlarımız cehapenin harf alfabesiyle bir gecede cahil kalan vatandaşlarımızdır😂😂😂,0.0,Deep Humor Karma Röportaj Serisi (Vol21),1,1,0,1
ağzın bal yesin onu dahada kibar söyleyebilirdi,0.0,METROBÜSTE STAND UP / Muhteşem Final 😄,0,0,0,0
lan yuru git. osimhen ve baris her kavga dovusun icinde,0.0,Fenerbahçe - Galatasaray Derbisinde Tansiyon Yükseldi! İşte Yaşananlar,1,1,0,1
lan yallah yunanistana,,,0,1,1,1
boraa kaplanı sen mi geldin?,0.0,Muharrem ince küfür,1,0,0,1
hayatımda gördüğüm en büyük ahmak,,,0,1,0,1
​ .aslan3737 şimdi bak bakalım😊😂😂😂,0.0,🚨 Derbide Gergin Anlar #shorts #fenerbahçe #galatasaray,1,0,0,1
siktir ağızlı,,,1,1,0,1
her ne olursa olsun adamın yanında çocukları var,0.0,Marmaray’daki Yumruklu Saldırı Zanlısı Serbest Bırakıldı! O Yumruğu Neden Attı?,0,0,0,0
"birak rezil olsunlar, kaliteden bahsetdiklerinde bunları hatırlatırız😅🤣😂",0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,1,0,1
"ırkla alakası yok, biz çok iyiyiz sanki😂",0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,0,0,0,0
sus be mankurt,,,0,1,0,1
ne zaman uzaya gidecegiz?,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
o maç yanıma düşen gaz bombasindan sonra tirbünde çoluk çoçuk telef oldu tuwaletlere sürünerek gidenler vardi,0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,1,0,0,1
tam bir siktir,,,1,1,0,1
akpli bakanların bakanlık dönemlerinde yaptıkları herşeyi biliyoruz seçimde görüşeceğiz inşallah,0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",0,0,0,0
çok bile yaşadı bu kadar yeter,0.0,MÜMTAZREİS SON DAKİKA GOLÜYLE ÇILDIRDI😂 FENERBAHÇE 1-1 GALATASARAY #fenerbahçe #galatasaray ,0,0,0,0
evren turhan in arda yorumlarindan nasil futboldan anlamiyor goruluyor,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
kes sesini vasıfsız,,,0,1,0,1
"şu maçta en az 5 kırmızı 15 sarı çıkmadıysa, ki çıkmamış, fırat hakem falan değil demektir...",0.0,GALATASARAY 0 FENERBAHÇE 0 The Most Fierce Derby in History 2009,1,0,0,1
tartışmanın seviyeli olmasını sarıklı abimize borçluyuz bence,0.0,This may be the most serious debate that has ever occurred on the metrobus.,0,0,0,0
😂😂😂 hayal kuruyor sun,0.0,MÜMTAZREİS SON DAKİKA GOLÜYLE ÇILDIRDI😂 FENERBAHÇE 1-1 GALATASARAY #fenerbahçe #galatasaray ,0,0,0,0
iyi de a2 zor konuşuluyor,0.0,Deep Humor Karma Röportaj Serisi (Vol21),0,0,0,0
benimde,0.0,"""HAKEME"" yapılan ""SAYGISIZLIK""!!! #trabzonspor #galatasaray #hakem",0,0,0,0
kürt oe ne olacak,0.0,Deep Humor Karma Röportaj Serisi (Vol19),0,0,0,0
turgay tam tv yüzü ya,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
hayatımda gördüğüm en büyük çapsız,,,0,1,0,1
SÜNNILER ŞÖYLEDIR,,,0,1,1,1
ne kadar dangalak birisin,,,0,1,0,1
+isimsiz insan kardeş kadın kör nasıl bir laf bu dediğin,0.0,TÜRK CANLI YAYIN KAVGALARI 2017,0,0,0,0
kes lan defol,,,1,1,0,1
mert hakan tam olarak fenerbahçeye yakışır bir futbolcu.,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
ne kadar cahil birisin,,,0,1,0,1
neeeeee güvenlikler napıyordu canlı bombada olabilirdi allah'tan oyuncakmış,0.0,Fearful Moments on the Kadıköy Metro! He Pointed a Rifle at Passengers | NTV,0,0,0,0
fetöcü bunlar asmak lazım!!!,,,0,1,1,1
"turualhog. turgunaltınoğh, turgunelamaltonoğh... az daha gayret, konuşmayı söküyorlar.",0.0,Deep Humor Karma Röportaj Serisi (Vol27),0,1,0,1
bu konuşma her bir kelimesi doğru olsada bu ülkede adaletin olmadığı savcı hakim ve avukatların alayının sahtekar olduğu gerçeğini değiştirmedi,0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",0,0,0,0
hayatında kaç kere kavga ettin la deyuz,0.0,İstanbul’da Trafiğin Ortasında Boks Ringini Aratmayan Kavga!,0,0,0,0
hepiniz yunan tohumu,,,0,1,1,1
siktir pcin,,,1,1,0,1
yunusun sesi duyuldumu ya ahh ahhh sevgilim vur bana ahhh diye inledi sanki renkdaşı hemcinsi kerimcannn gibi,0.0,"🔥 ÖZEL HABER. Fenerbahçe SEVİNÇ,  Galatasaray ÜZÜNTÜ. Küfürler ve Mert Hakan Yandaş'ın SÖYLEMLERİ.",0,0,0,0
😂😂😂naka doğru bir cümle buuu be gardaşlılk,0.0,İbrahim Tatlıses canlı yayında stüdyoyu basıyor ve konuğu kovuyor!!!!!,0,0,0,0
abi sanchez in kurtarma şeyini ne zaman atarsın,0.0,Fenerbahçe - Galatasaray Derbisinde Tansiyon Yükseldi! İşte Yaşananlar,0,0,0,0
2014 yılında böyle şeyler olmadı hiç,0.0,Otobüs şoförü yolcuyla tartıştı!,0,0,0,0
kanınız bozuk sizin,,,0,1,1,1
şike olayından nasıl yırtıgınızda araştırmalı,0.0,Fenerbahçe'nin otobüsü kurşunlanalı 2557 gün oldu 😔 #aydınlanmayangun #shorts #shorts #short #keşfet,0,1,0,1
şerefisizim %90 sıyırmışız😂,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
bağımlılık yaptı sjsjsj,0.0,Muharrem ince küfür,0,0,0,0
durum ne olursa olsun yanlis davranis bu ayrica zarar vermemis diye bisey yok daha nasil zarar verecek adam zor yürüyor ayakta zor duruyor sadece hayata oldugu icin dua etmeli biz yinede ıbrahim tatlisesi seviyoruz,0.0,İbrahim Tatlıses canlı yayında stüdyoyu basıyor ve konuğu kovuyor!!!!!,0,0,0,0
yoo ayağı kaydı kaymasa döverdi😂,0.0,TEKMELER KÜFÜRLER HAVADA UÇUŞTU,0,0,0,0
​ ne oluyor ters kelepçe olunca eli arkada olmaktan başka?,0.0,"""Are you a bandit?"" Undercover Police Officer Issues Slap-Like Warning to Motorcyclist Kicking in...",0,0,0,0
",,2q",0.0,Cemal Enginyurt ile Abdurrahman Uzun arasında sert tartışma,0,0,0,0
hepiniz idam edilmelisiniz!!!,,,0,1,1,1
helal olsun abim gerçekleri görmene sevindik geçen gün akp hükümeti uyuşturucu araştırma önergesine red verdi çocuk çetelerini araştırma önergesine red verdi bunları araştırma önergesine red verenler demekki bir çıkarları var toplumu bitirmek için uğraşıyorlar,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,1,0,1
SIZI DENIZE DÖKECEĞIZ,,,0,1,1,1
o değilde ilk pozisyonda pavarda bakın sadece :d,0.0,Adli iki kez hakemi aldatmaya yönelik hareket nedeniyle sarı kart gördü ikisi de penaltıya dönüştü,0,0,0,0
"ve hep aynı konuşma stili, küfürlere dikkat edin.",0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,0,0,0,0
lağnnnnnn youtube a metehan zeren yazınca bu çıkıyo sadfghjhgfd,0.0,Metehan [ 2 ] Küfürlü 😂 +18,0,0,0,0
o.ç git buradan,,,1,1,0,1
güzel koydunuz elinize sağlık,0.0,Mehmet Cengiz İnşaat halka küfürlü Ses kaydı.,0,0,0,0
"mustafa varank dolu dolu harika bir konuşma olmuş.ağzınıza ,aklınıza sağlık..teşekkür ederim.zıplakları hoplattınız...",0.0,"Varank ""hırsız"" diye laf attı Veli Ağbaba yerinden fırladı: Meclis'e ara verdiren kavga!",0,0,0,0
evren abi şunu ağzının ortasına iki tane vursana bi daha senle.o şekil konuşmaz,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,0,0,0
çok kaliteli bir insan olduğumu fark ettim,0.0,Deep Humor Karma Röportaj Serisi (Vol19),0,1,0,1
la olum adam lafın gelişi demiş bu kadar dangalak olmayın ya,0.0,GALATASARAY 0 FENERBAHÇE 0 The Most Fierce Derby in History 2009,0,1,0,1
hepiniz türk düşmanları,,,0,1,1,1
DIŞ GÜÇLERIN MAŞASI OLMUŞSUNUZ,,,0,1,1,1
arkadaşlar ben andromeda galaksisi ne gidiyorum birkaç kişi yere gidiyorum inşallah orada yaşam vardır umarım yeni evimiz burası olur sen bakayım belki birkaç insanı toplarım sonra gideriz bunu gelecekteki ben söylüyor çok saçma oldu gelecekte yer hala böyle kötülükler saçmalıklar yaşanacaksa teknoloji gelişirse ben andromeda galaksisi ne gidiyorum sen anla meni galaksisine nasıl gideceksin diyorsanız ya ben nasıl gidiyorum tabii ki de geçitlerle ışınlanma yayla gideceğim gelmek isteyen var mı?🌌🛰🚀🎮🕹🔭📡🛡🛠💊💉🇦🇿🇯🇵🇱🇾🇰🇷🇵🇰🇹🇷,0.0,Metroda şarkı kavgası!,1,1,0,1
emirhan çakal❤,0.0,Sefo ve Çakal Gece Kulübünde Kavga Ettiler,0,1,0,1
sus be yaratık,,,0,1,0,1
şuan vpnsiz hiç bi uygulamaya girirmiyo arkadaşlar,0.0,CANLI YAYINDA REZİL OLAN YOUTUBER.,0,0,0,0
mahkeme verirdim net !,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
"""ölmeye yer mi arıyon git"" diyerek halihazırda sorunları olan evladını dahada tahrik edip cesaretlendiren şahıs harika bir veli örneğidir. (ironidir)",0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,1,1,0,1
baştaki teyzeyle aynı havayı soluyoruz ama o içerde o havaya ne yapıyorsa kafa 1 milyon geziyor. helal olsun alkol fiyatlarına inat 👏👏,0.0,Deep Humor Karma Röportaj Serisi (Vol32),0,0,0,0
mukemmel,0.0,TÜRKİYE'DE YAŞANAN MOTORCU KAVGALARI VE KAZALARI! #262 | Trafik Kavgaları! (2025),0,0,0,0
abi hayatta mısın,0.0,Turkcell Kayıt Altına Alınan Görüşme -) - YouTube.flv,0,0,0,0
50bin mi?,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
tabiki gs,0.0,GALATASARAY 0 FENERBAHÇE 0 The Most Fierce Derby in History 2009,0,0,0,0
benim de aklıma geldi,0.0,Trafikte tartıştığı araca tekme ve yumrukla saldırdı #shorts #trafik #keşfet,0,0,0,0
sonra hepimiz birbirimize sıra halinde takalım ve seri bir şekilde sövelim,0.0,Muharrem ince küfür,0,0,0,0
ahmet çalık mi oyuna giren 😢😢😢,0.0,🚨 Derbide Gergin Anlar #shorts #fenerbahçe #galatasaray,0,0,0,0
seçilmişler harikasınız👏👏👏,0.0,Huge fistfight in Parliament: AKP and CHP members clashed! THE CLEAREST FOOTAGE...,0,0,0,0
oe turgay demir her kavganın içinde o var televizyonlara çıkarmayı ne zaman bıraktılar bunu kavga dövüş bitti yorumcular arasında bazen de başkasını başkasına kışkırtıyordu,0.0,ASPOR'daki canlı yayın Kavgaları (tartışmaları) VOL1,0,1,0,1
keşke hep böyle olsak,0.0,This may be the most serious debate that has ever occurred on the metrobus.,0,0,0,0
ülkenin insanlarının ayarı yok sakin olan çok sakin sinirli olan çok sinirli ortası yok :d,0.0,TIRCIYLA BÜYÜK KAVGA! Türkiye'de Yaşanan Motorcu Kavgaları ve Kazaları! (330) Trafik Kavgaları! 2026,1,0,0,1
hastir mal,0.0,Basına SALDIRI !  #sokakröportajları,0,1,0,1
"demem böyle şeyler ama, inşallah bak dünyada tutarsa eğer ne duam ne bedduam sadece bu tuttsun, senin çocuğun, eşin, annen, baban ve hatta sen tamame nhaksız yere bu kadar savunduğun birinden, biber gazı yersin, geçici kör olursun, cop yersin, dayak yersin, sesini çıkarmaya çalışırsın duyan olmaz, medya susar. umarım o günü yaşarsın",0.0,Fenerbahce Galatasaray 12 mayis 2012 MAC SONRASI REZALET,0,0,0,0
ti meova olaydan sonra demedi mi onu?,0.0,Bircan Bali ve Seren Serengil canlı yayında kavga etti!,0,0,0,0
dinsiz imansız vatan hainleri,,,0,1,1,1
"""yerinde edilen küfür şiir gibidir."" sözünü tam olarak burada hissediyoruz.",0.0,Muharrem ince küfür,0,0,0,0
kanka bunlar arsız dayak yese bile kafa yapısı değişmez,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,0,0,0,0
abi direkt ehliyetlerde ömür boyu ikisinin de el koyacaksın hemen beşer milyon trafik cezası ömür boyu devlete bedava çalışacaklar bisiklet bile yasaklayacak yola çıkmayacak bu şiddeti anca böyle uygulayıp da bitirebilir yoksa 10 lirayla 5 lirayla bitmez bu iş,0.0,🔴 A fight broke out in traffic!,1,1,0,1
lan ülkeyi sattınız vatan hainleri,,,0,1,1,1
@ eyw,0.0,Armed Attack on Live Broadcast! The Incident That Hit Türkiye's News!,0,0,0,0
lan soysuz köpekler,,,0,1,1,1
siktir s.k,,,1,1,0,1
